page,id,title,subtitle,address,city,state,type,price,sf
17,39630180,272 Us Highway 206,Bartley Square,"Flanders, NJ",Flanders,NJ,Office,"$199,000",
17,39629440,337 MARTIN LUTHER KING JR Dr,,"Jersey City, NJ",Jersey City,NJ,Retail,"$1,400,000","4,294"
17,39629382,2092 Route 35 N,,"South Amboy, NJ",South Amboy,NJ,Retail,"$1,400,000","4,100"
17,39628836,120 Jack Martin Blvd,,"Brick, NJ",Brick,NJ,Retail,"$2,250,000","2,824"
17,39628651,35 Quarry St,The Waxwood,"Princeton, NJ",Princeton,NJ,Multifamily,"$12,600,000",
17,39628452,85-89 Park Ave,,"Flemington, NJ",Flemington,NJ,Office,"$269,000",
17,39626076,120-122 S 20th St,"±30,000 SF – Industrial Opportunity","Irvington, NJ",Irvington,NJ,Industrial,"$5,940,000","30,000"
17,39625983,109-125 S 20th St,"±85,000 SF – Industrial Opportunity","Irvington, NJ",Irvington,NJ,Industrial,"$16,830,000","85,000"
17,39625261,5201 Atlantic ave,,"Ventnor City, NJ",Ventnor City,NJ,Multifamily,"$2,900,000","4,011"
17,39625164,2601 Educational Ln,,"Manasquan, NJ",Manasquan,NJ,Retail,"$5,100,000","10,000"
17,39621242,45 Freeman St,Dillons Tavern,"West Orange, NJ",West Orange,NJ,Retail,"$1,100,000","1,579"
17,39605109,12000 Long Beach Blvd,,"Long Beach Township, NJ",Long Beach Township,NJ,Retail,"$1,899,000","2,700"
17,39602999,238 Highway 34,,"Old Bridge, NJ",Old Bridge,NJ,Retail,"$1,999,777","3,200"
17,39600419,2580 Tilton Rd,Harbor Apartments,"Egg Harbor Township, NJ",Egg Harbor Township,NJ,Multifamily,"$15,500,000",
18,39600251,117 Fort Lee Rd,,"Leonia, NJ",Leonia,NJ,Office,"$5,250,000","21,945"
18,39592086,Investment Portfolio Sale,,"Bergenfield, NJ",Bergenfield,NJ,,"$3,900,000",
18,39590506,523-525 Bay Ave,,"Point Pleasant Beach, NJ",Point Pleasant Beach,NJ,Retail,"$1,499,900","2,870"
18,39588192,49 Ridgedale Ave,NEW TO MARKET--TURNKEY DENTAL SUITE,"East Hanover, NJ",East Hanover,NJ,Office,"$400,000",
18,39588164,517-521 Bay Ave,,"Point Pleasant Beach, NJ",Point Pleasant Beach,NJ,Multifamily,"$1,599,900","3,229"
18,39585807,College Plaza,,"Randolph, NJ",Randolph,NJ,Retail,"$16,250,000",
18,39581541,235 Liberty Ave,,"Jersey City, NJ",Jersey City,NJ,Multifamily,"$1,350,000","5,064"
18,39577637,1741 Whitehorse Mercerville Rd,,"Hamilton, NJ",Hamilton,NJ,Office,"$2,400,000","25,511"
18,39577314,1520 Boulevard,,"Seaside Heights, NJ",Seaside Heights,NJ,Retail,"$3,499,900","7,000"
18,39566541,118 Hudson St,,"Hackensack, NJ",Hackensack,NJ,Office,"$675,000","1,908"
18,39560121,1381 Fairview Blvd,,"Delran, NJ",Delran,NJ,Office,"$895,900","2,100"
18,39557025,146 S Munn Ave,Sterling Estates,"East Orange, NJ",East Orange,NJ,Health Care,"$1,215,000","5,476"
18,39556941,962 Main Ave,6 Units | With Parking & Advertising,"Passaic, NJ",Passaic,NJ,Multifamily,"$1,600,000",
18,39556875,1210 Long Beach Blvd,Twelve Ten Condominium Association,"Long Beach Township, NJ",Long Beach Township,NJ,Office,"$315,000",
18,39556487,273 Monmouth St,,"Jersey City, NJ",Jersey City,NJ,Office,"$875,000",
18,39548241,1618 Parker Ave,,"Fort Lee, NJ",Fort Lee,NJ,Retail,"$1,650,000","3,500"
18,39545047,370 Route 35 S,Middletown Medical Arts Plaza,"Red Bank, NJ",Red Bank,NJ,Office,"$3,200,000","10,000"
18,39539398,250-254 Bellevue Ave,,"Upper Montclair, NJ",Upper Montclair,NJ,Retail,"$2,700,000","5,358"
18,39523939,186 Mt Bethel Rd,,"Warren, NJ",Warren,NJ,Retail,"$1,975,000","2,597"
18,39508952,897 Ringwood Ave,Restaurant - Rental Income - Development Site,"Haskell, NJ",Haskell,NJ,Retail,"$1,500,000","2,400"
18,39508299,368 Mullica Hill Rd,28+/- Acres | Prime Development Site,"Mullica Hill, NJ",Mullica Hill,NJ,Land,"$3,200,000",
18,39506869,52-66 Henry St,,"Secaucus, NJ",Secaucus,NJ,Industrial,"$3,900,000","4,200"
18,39503082,118 Lincoln Ave,,"Dover, NJ",Dover,NJ,Industrial,"$399,000","1,500"
18,39502631,415 Totowa Rd,,"Totowa, NJ",Totowa,NJ,Office,"$1,600,000","5,225"
18,39498582,467 Hudson St,,"Hackensack, NJ",Hackensack,NJ,Multifamily,"$1,300,000",
19,39490652,52-66 Henry St,,"Secaucus, NJ",Secaucus,NJ,Land,"$3,900,000",
19,39487745,35 4th Ave,,"Hawthorne, NJ",Hawthorne,NJ,Industrial,"$3,100,000","12,500"
19,39481925,113 tindall Rd,,"Middletown, NJ",Middletown,NJ,Office,"$1,250,000","5,700"
19,39481054,80 Montgomery St,,"Paterson, NJ",Paterson,NJ,Retail,"$560,000","3,200"
19,39479887,81 Somerset Dr,Burlington Spine & Rehab,"Willingboro, NJ",Willingboro,NJ,Office,"$354,900","1,725"
19,39479695,4508 Bergen Tpke,,"North Bergen, NJ",North Bergen,NJ,Retail,"$665,000","2,150"
19,39479659,513 W Westfield Ave,,"Roselle Park, NJ",Roselle Park,NJ,Retail,"$449,000","1,160"
19,39479476,3 Mapleton Rd,,"Princeton, NJ",Princeton,NJ,Office,"$1,965,000","5,385"
19,39479202,129 E Broad St,127-129 E Broad St Burlington,"Burlington, NJ",Burlington,NJ,Multifamily,"$600,000","3,000"
19,39465066,Philadelphia Ave Multi-Family Portfolio,,"Egg Harbor City, NJ",Egg Harbor City,NJ,,"$1,500,000",
19,39464601,50 Drakestown Rd,,"Hackettstown, NJ",Hackettstown,NJ,Land,"$2,900,000",
19,39464353,1 High st,2-Lot Development | 2 Luxury Single-Families,"Westwood, NJ",Westwood,NJ,Land,"$650,000",
19,39463975,9 W Shore Trl,2 Parcels: 9 & 9A W Shore Trl,"Sparta, NJ",Sparta,NJ,Land,"$1,500,000",
19,39460253,238 Franklin Ave,,"Nutley, NJ",Nutley,NJ,Retail,"$3,500,000","7,980"
19,39460187,1158 Valley Rd,"Retail Property – 2,939 SF On 1.56 Acres","Stirling, NJ",Stirling,NJ,Retail,"$899,999","2,939"
19,39453355,107 Old Palisade Rd,8-10 Multi-family Development | R7-A Zoning,"Fort Lee, NJ",Fort Lee,NJ,Land,"$895,000",
19,39452779,187-203 E 7th St,,"Paterson, NJ",Paterson,NJ,Industrial,"$2,500,000","14,200"
19,39433137,72-74 Route 46 E,,"Lodi, NJ",Lodi,NJ,Retail,"$1,200,000","3,000"
19,39432337,1339 River Rd,,"Titusville, NJ",Titusville,NJ,Retail,"$1,950,000","5,630"
19,39429893,140 W Main St,,"Clinton Township, NJ",Clinton Township,NJ,Office,"$990,000","5,488"
19,39428698,232 Route 70,,"Toms River, NJ",Toms River,NJ,Retail,"$3,196,893","2,907"
19,39428631,450 Lacey Rd,Wendy's,"Whiting, NJ",Whiting,NJ,Retail,"$2,407,815","4,272"
19,39428253,572-574 Newark Ave,Journal Square,"Jersey City, NJ",Jersey City,NJ,Office,"$3,000,000","13,000"
19,39420095,295 US Highway 46,,"Rockaway, NJ",Rockaway,NJ,Retail,"$14,800,000","100,007"
19,39419931,101 Baltic Ave,Baltic Marina,"Waretown, NJ",Waretown,NJ,Specialty,"$3,500,000","3,041"
