page,id,title,subtitle,address,city,state,type,price,sf
10,40055826,77 S Union St,,"Lambertville, NJ",Lambertville,NJ,Retail,"$999,000","8,844"
10,40046127,1121 Route 47,,"Rio Grande, NJ",Rio Grande,NJ,Office,"$249,900",
10,40045457,615 Frelinghuysen Ave,,"Newark, NJ",Newark,NJ,Retail,"$2,335,000","10,158"
10,40044527,145 Decker Rd,,"Butler, NJ",Butler,NJ,Office,"$1,500,000","3,506"
10,40044401,279-281 Pine St,Commercial + Vacant Lot,"Jersey City, NJ",Jersey City,NJ,Retail,"$1,950,000","4,500"
10,40042694,1000 Richmond ave,,"Point Pleasant Beach, NJ",Point Pleasant Beach,NJ,Land,"$1,350,000",
10,40042449,2170 Route 57,,"Washington, NJ",Washington,NJ,Industrial,"$1,700,000","9,150"
10,40042141,111 S Broadway,,"Pennsville, NJ",Pennsville,NJ,Office,"$395,000","3,024"
10,40042124,55 Delaware St,,"Woodbury, NJ",Woodbury,NJ,Office,"$550,000","5,800"
10,40039169,4 Main St,,"New Egypt, NJ",New Egypt,NJ,Retail,"$319,000","1,100"
10,40029145,372 Princeton Hightstown Rd,,"West Windsor Township, NJ",West Windsor Township,NJ,Land,"$1,700,000",
10,40026346,45 Main St,The Stanhope House - Multi-family Opportunity,"Stanhope, NJ",Stanhope,NJ,Retail,"$1,290,000","7,000"
10,40025698,1284-1286 New Jersey 23,,"Sussex, NJ",Sussex,NJ,Land,"$949,000",
10,40022563,3 Brendenwood Dr,Prime Medical Building,"Voorhees, NJ",Voorhees,NJ,Office,"$699,900","4,270"
10,40020192,437-438 Burnside St,,"Orange, NJ",Orange,NJ,Industrial,"$1,100,000","1,500"
10,40020094,2936 Vauxhall Rd,,"Vauxhall, NJ",Vauxhall,NJ,Land,"$3,000,000",
10,40020065,597 Morris Ave,Springfield Approved Development Site,"Springfield, NJ",Springfield,NJ,Land,"$4,000,000",
10,40012170,6112 Park Ave,Park West,"West New York, NJ",West New York,NJ,Multifamily,"$3,621,000",
11,40011627,1215 Livingston Ave,,"North Brunswick, NJ",North Brunswick,NJ,Office,"$1,875,000","19,000"
11,40011130,75 Armour Pl,,"Dumont, NJ",Dumont,NJ,Industrial,"$3,200,000","17,500"
11,40011006,80 Morris Ave,,"Springfield, NJ",Springfield,NJ,Office,"$2,100,000","8,028"
11,40010720,10 Centre Dr,,"Monroe Township, NJ",Monroe Township,NJ,Office,"$2,250,000","13,400"
11,40010484,6206 Black Horse Pike,,"Egg Harbor Township, NJ",Egg Harbor Township,NJ,Retail,"$2,750,000","8,910"
11,40010179,602 US Highway 9,,"Lanoka Harbor, NJ",Lanoka Harbor,NJ,Retail,"$3,250,000",
11,40006125,735 E Hazelwood Ave,,"Rahway, NJ",Rahway,NJ,Retail,"$859,999",922
11,40004917,27 Main St,,"Sparta, NJ",Sparta,NJ,Office,"$670,000","1,846"
11,40004758,130 -144 Murray st,130-144 MURRAY,"Elizabeth, NJ",Elizabeth,NJ,Multifamily,"$4,200,000",
11,39993744,834 W Browning Rd,,"Bellmawr, NJ",Bellmawr,NJ,Retail,"$450,000","3,700"
11,39993123,237 Washington Ave,,"Hackensack, NJ",Hackensack,NJ,Industrial,"$1,650,000","6,000"
11,39989876,153 Atlantic City Blvd,,"Beachwood, NJ",Beachwood,NJ,Office,"$599,000","2,000"
11,39988491,534 Harvard St,,"Vineland, NJ",Vineland,NJ,Industrial,"$329,900","4,665"
11,39988366,283 Belmont Ave,,"Haledon, NJ",Haledon,NJ,Retail,"$699,000","3,296"
11,39978120,62 Lafayette St,,"Paterson, NJ",Paterson,NJ,Multifamily,"$1,435,000",
11,39977927,416 Scott Mobus Pl,,"East Newark, NJ",East Newark,NJ,Land,"$1,498,888",
11,39977697,504 S Harding Hwy,,"Buena, NJ",Buena,NJ,Land,"$495,000",
11,39977584,12-29 River Rd,Childcare Facility | Owner-User / Investment,"Fair Lawn, NJ",Fair Lawn,NJ,Retail,"$1,400,000","4,350"
11,39975588,344 Main Rd,,"Vineland, NJ",Vineland,NJ,Retail,"$625,000","7,500"
11,39974972,4018 Quakerbridge Rd,,"Trenton, NJ",Trenton,NJ,Retail,"$1,200,000","5,500"
11,39974367,48 W Lafayette St,,"Trenton, NJ",Trenton,NJ,Retail,"$324,900","1,560"
11,39973842,629 W Mount Pleasant Ave,,"Livingston, NJ",Livingston,NJ,Office,"$1,600,000","4,005"
11,39968866,2087 Burnt Mills Rd,,"Bedminster, NJ",Bedminster,NJ,Retail,"$800,000","2,144"
11,39964323,993-995 Broadway,,"Bayonne, NJ",Bayonne,NJ,Retail,"$1,490,000","6,000"
11,39960603,2155 Camplain Rd,MULTI-FAMILY INVESTMENT OPPORTUNITY,"Hillsborough, NJ",Hillsborough,NJ,Multifamily,"$699,999",
12,39960131,113 Washington St,,"Morristown, NJ",Morristown,NJ,Office,"$2,250,000","1,115"
12,39958992,120 Millbrook Rd,,"Washington, NJ",Washington,NJ,Land,"$39,900",
12,39958923,535 Walnut St,,"Norwood, NJ",Norwood,NJ,Office,"$5,975,000","30,400"
12,39958399,601-607 White Horse Pike,"Office w/ 4,400 sq. ft. Warehouse","Hammonton, NJ",Hammonton,NJ,Office,"$899,000","7,823"
12,39957848,29 Smull Ave,,"Caldwell, NJ",Caldwell,NJ,Office,"$949,900","2,764"
12,39957673,1200 S West Blvd,Building 2,"Vineland, NJ",Vineland,NJ,Industrial,"$900,000","8,000"
12,39956555,369 New Brunswick Ave,,"Fords, NJ",Fords,NJ,Retail,"$1,800,000","4,200"
12,39949112,30 Gingerbread Castle Rd,,"Hamburg, NJ",Hamburg,NJ,Retail,"$1,500,000","6,000"
12,39937199,6 Alliotts Pl,,"Palisades Park, NJ",Palisades Park,NJ,Multifamily,"$4,100,000",
12,39936436,271 US Highway 46,Unit D107,"Fairfield, NJ",Fairfield,NJ,Office,"$155,000",
12,39936038,198-200 E Main St,,"Bound Brook, NJ",Bound Brook,NJ,Retail,"$1,500,000","7,300"
12,39934947,2090 Blue Bell Rd,,"Williamstown, NJ",Williamstown,NJ,Flex,"$1,100,000","5,314,320"
12,39931227,22 US Highway 130,Prime Highway Exposure | Rare 6.87-Acre Site,"Trenton, NJ",Trenton,NJ,Industrial,"$5,830,000","26,855"
12,39923498,433 52nd St,,"West New York, NJ",West New York,NJ,Multifamily,"$1,400,000",
12,39922453,220-230 U.S. 46,Approved 86 Unit Multi-Family In Little Ferry,"Little Ferry, NJ",Little Ferry,NJ,Land,"$3,900,000",
12,39921731,73-75 Glenridge Ave,6-unit Portfolio + Retail & Office,"Montclair, NJ",Montclair,NJ,Multifamily,"$4,200,000","7,266"
12,39916415,828-838 AVE A 828-838 Avenue A Blvd,BENMORE ESTATES,"Bayonne, NJ",Bayonne,NJ,Land,"$2,499,000",
12,39907490,120-140 US Highway 46,125 Car Capacity | Route 46 Corridor,"Little Ferry, NJ",Little Ferry,NJ,Retail,"$5,300,000","6,000"
12,39907332,561 Cranbury Rd,,"East Brunswick, NJ",East Brunswick,NJ,Office,"$625,000",
12,39907230,499-501 Greenwood Ave,Transit Oriented Development Site,"Trenton, NJ",Trenton,NJ,Land,"$1,950,000",
12,39906943,31P Mountain Boulevard,,"Warren, NJ",Warren,NJ,Office,"$495,000","3,000"
12,39906571,78 Court St,,"Freehold, NJ",Freehold,NJ,Office,"$1,395,000","5,945"
12,39906198,382 S Clinton St,,"East Orange, NJ",East Orange,NJ,Retail,"$1,600,000","1,800"
12,39904828,6 Park Ave,,"Rutherford, NJ",Rutherford,NJ,Retail,"$650,000","4,116"
12,39903629,709 N Main St,,"Glassboro, NJ",Glassboro,NJ,Retail,"$819,000","1,800"
13,39902137,"73-75 Highway 35 Eatontown, NJ",,"Eatontown, NJ",Eatontown,NJ,Retail,"$1,750,000",
13,39898737,530 E Main St,Unit 5B,"Chester, NJ",Chester,NJ,Office,"$229,000",
13,39893886,840 New Jersey 33 Hwy,840 Rt 33,"Monroe Township, NJ",Monroe Township,NJ,Land,"$2,900,000",
